conceptId	en	latin_ta	english_ta	current_ru	old_status	suggested_ru	decision	final_ru	reason
FMA3840	posterior interventricular branch of right coronary artery	arteria interventricularis inferior	inferior interventricular artery	Задняя межжелудочковая ветвь правый коронарная артерия	FIX	Задняя межжелудочковая ветвь Правая коронарная артерия	SAFE_FIX	Задняя межжелудочковая ветвь правой коронарной артерии	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA3895	circumflex branch of left coronary artery	arteria circumflexa cordis	circumflex artery of heart	Огибающая ветвь левый коронарная артерия	FIX	Огибающая ветвь Левая коронарная артерия	SAFE_FIX	Огибающая ветвь левой коронарной артерии	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA3941	right common carotid artery	carotis communis dextra	right common carotid artery	Правый общая сонная артерия	FIX	Правая общая сонная артерия	SAFE_FIX	Правая общая сонная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA3953	right subclavian artery	arteria subclavia dextra	right subclavian artery	Правый подключичная артерия	FIX	Правая подключичная артерия	SAFE_FIX	Правая подключичная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4058	left common carotid artery	carotis communis sinistra	left common carotid artery	Левый общая сонная артерия	FIX	Левая общая сонная артерия	SAFE_FIX	Левая общая сонная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4694	left subclavian artery	arteria subclavia sinistra	left subclavian artery	Левый подключичная артерия	FIX	Левая подключичная артерия	SAFE_FIX	Левая подключичная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4751	right brachiocephalic vein	vena brachiocephalica dextra	right brachiocephalic vein	Правый плечеголовная вена	FIX	Правая плечеголовная вена	SAFE_FIX	Правая плечеголовная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4761	left brachiocephalic vein	vena brachiocephalica sinistra	left brachiocephalic vein	Левый плечеголовная вена	FIX	Левая плечеголовная вена	SAFE_FIX	Левая плечеголовная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4797	left superior intercostal vein	vena intercostalis superior sinistra	left superior intercostal vein	Левый верхняя межрёберная вена	FIX	Левая верхняя межрёберная вена	SAFE_FIX	Левая верхняя межрёберная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4843	right ascending lumbar vein	vena lumbalis ascendens dextra	right ascending lumbar vein	Правый восходящая поясничная вена	FIX	Правая восходящая поясничная вена	SAFE_FIX	Правая восходящая поясничная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4844	right subcostal vein	vena subcostalis dextra	right subcostal vein	Правый подрёберная вена	FIX	Правая подрёберная вена	SAFE_FIX	Правая подрёберная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
