conceptId	en	latin_ta	english_ta	mapping_status	current_ru	decision	final_ru	reason	confidence
FMA3710	vascular tree			NO_MATCH	Сосудистое дерево	KEEP	Сосудистое дерево	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3711	segment of artery			NO_MATCH	Сегмент артерия	APPLY	сегмент артерии	Candidate from QA (grammar; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3714	variant artery			NO_MATCH	Вариантная артерия	KEEP	Вариантная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3726	anastomosis			NO_MATCH	Анастомоз	KEEP	Анастомоз	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3727	vascular anastomosis			NO_MATCH	Сосудистое анастомоз	APPLY	сосудистый анастомоз	Candidate from QA (grammar); requires final Russian terminology review before application.	MEDIUM
FMA3728	arterial anastomosis			NO_MATCH	Артериальный анастомоз	KEEP	Артериальный анастомоз	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3729	venous anastomosis			NO_MATCH	Венозная анастомоз	APPLY	венозный анастомоз	Candidate from QA (grammar); requires final Russian terminology review before application.	MEDIUM
FMA3736	ascending aorta	aorta ascendens	ascending aorta	EXACT	Восходящая аорта	KEEP	Восходящая аорта	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3768	arch of aorta	arcus aortae	aortic arch	EXACT	Дуга аорты	KEEP	Дуга аорты	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3784	descending aorta	aorta descendens	descending aorta	EXACT	Нисходящая аорта	KEEP	Нисходящая аорта	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3789	abdominal aorta	aorta abdominalis	abdominal aorta	EXACT	Брюшная аорта	KEEP	Брюшная аорта	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3802	trunk of right coronary artery			NO_MATCH	Туловище правый коронарная артерия	APPLY	Туловище Правое коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3807	right conus artery			NO_MATCH	Правый конус артерия	APPLY	Правая конус артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3813	anterior ventricular branch of right coronary artery			NO_MATCH	Передняя желудочковая ветвь правой коронарной артерии	REVIEW		Needs external Russian anatomical terminology verification.	LOW
